Wert;Bedeutung
101;Mitte
102;Moabit
103;Hansaviertel
104;Tiergarten Süd
105;Wedding
106;Gesundbrunnen
201;Friedrichshain
202;Kreuzberg
301;Prenzlauer Berg
302;Weißensee (Pankow)
303;Blankenburg
304;Heinersdorf
305;Karow
306;Malchow (Pankow)
307;Pankow
308;Blankenfelde
309;Buch
310;Französisch-Buchholz
311;Niederschönhausen
312;Rosenthal
313;Wilhelmsruh
401;Charlottenburg
402;Wilmersdorf
403;Schmargendorf
404;Grunewald
405;Westend
406;Charlottenburg-Nord
407;Halensee
501;Spandau
502;Haselhorst
503;Siemensstadt
504;Staaken
505;Gatow
506;Kladow
507;Hakenfelde
508;Falkenhagener Feld
509;Wilhelmstadt
541;West-Staaken
601;Steglitz
602;Lichterfelde
603;Lankwitz
604;Zehlendorf
605;Dahlem
606;Nikolassee
607;Wannsee
701;Schöneberg
702;Friedenau
703;Tempelhof
704;Mariendorf
705;Marienfelde
706;Lichtenrade
801;Neukölln
802;Britz
803;Buckow
804;Rudow
805;Gropiusstadt
901;Alt-Treptow
902;Plänterwald
903;Baumschulenweg
904;Johannisthal
905;Niederschöneweide
906;Altglienicke
907;Adlershof
908;Bohnsdorf
909;Oberschöneweide
910;Köpenick
911;Friedrichshagen
912;Rahnsdorf
913;Grünau
914;Müggelheim
915;Schmöckwitz
1001;Marzahn
1002;Biesdorf
1003;Kaulsdorf
1004;Mahlsdorf
1005;Hellersdorf
1101;Friedrichsfelde
1102;Karlshorst
1103;Lichtenberg
1104;Falkenberg
1106;Malchow (in Li.)
1107;Wartenberg
1109;Neu-Hohenschönhausen
1110;Alt-Hohenschönhausen
1111;Fennpfuhl
1112;Rummelsburg
1201;Reinickendorf
1202;Tegel
1203;Konradshöhe
1204;Heiligensee
1205;Frohnau
1206;Hermsdorf
1207;Waidmannslust
1208;Lübars
1209;Wittenau
1210;Märkisches Viertel
1211;Borsigwalde
